text,label
"Breaking: Celebrity caught in huge scandal, but no evidence is provided anywhere.",FAKE
"Government officially announces new healthcare policy to support low-income families.",REAL
"Shocking: Scientists confirm that drinking only water cures all diseases overnight!",FAKE
"Local school wins national robotics competition with innovative AI project.",REAL
"Experts warn that a secret chip in vaccines allows mind control by tech companies.",FAKE
"City mayor introduces new plan to reduce traffic and pollution in downtown areas.",REAL
"Study claims that staring at the sun for 10 minutes gives you superhuman vision.",FAKE
"University researchers publish new paper on quantum computing breakthroughs.",REAL
"Report says eating only chocolate leads to instant weight loss with no side effects.",FAKE
"National space agency successfully launches a new satellite into orbit.",REAL
